ID Gender,Gender,ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
1,"Male",2017,"2017","true","true",3786,53769.233404297345,2180.0748606431057,455630,16546.650561558952,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2014,"2014","true","true",1489,11477.064419094593,1047.1638748888386,180847,10434.013204588584,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2015,"2015","true","true",1601,10483.637956107203,966.412811268443,195294,10842.346716624881,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2019,"2019","true","true",1635,11105.215096068203,858.9717019074914,196475,10875.444595932142,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2016,"2016","true","true",1645,10534.532609078335,859.3050752636633,198825,10939.893666992644,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2018,"2018","true","true",1590,13093.000711736786,1560.1073540705208,203727,11073.960088748408,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2017,"2017","true","true",1640,12174.523410175461,1221.0549289826304,205573,11123.856793464905,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2017,"2017","true","true",4916,11971.25159021548,542.9595362834793,606836,19086.07079685586,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2019,"2019","true","true",4755,12271.29588716515,556.533576426386,614491,19206.633341043995,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2018,"2018","true","true",4994,11343.271795794511,504.11823630403376,616908,19243.634264363143,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2014,"2014","true","true",5027,9958.362679747992,406.0804140377169,623790,19347.728799354096,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2015,"2015","true","true",5116,10350.493083494075,469.33534102451125,635075,19521.96337320989,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2016,"2016","true","true",5124,10901.953692564315,534.3045680642226,640869,19611.01721940905,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2019,"2019","true","true",2353,15388.534809215756,977.4012015475882,291848,13250.583696188809,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2014,"2014","true","true",2514,12298.36875130792,487.2952114284821,315386,13772.383850048402,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2018,"2018","true","true",2654,14707.201654245866,653.8298615186058,322443,13926.19287151244,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2016,"2016","true","true",2636,13182.110487017355,658.3681185274157,327052,14024.718487607424,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2015,"2015","true","true",2635,13680.11761575306,603.8394339140764,338220,14261.383539218989,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2019,"2019","true","true",2909,13489.06196702016,491.78441815463253,346636,14438.261405209845,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2017,"2017","true","true",2814,13553.549775604142,584.5046624210262,347600,14457.828287291071,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2014,"2014","true","true",3310,11094.5376776444,355.51288037156246,390457,15319.989761973573,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2015,"2015","true","true",3407,11541.168878490522,499.46470857650905,409466,15687.826466131924,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2018,"2018","true","true",3764,12933.99357157893,561.9662059619976,432299,16118.999556307195,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2016,"2016","true","true",3764,11952.829065137508,367.25393262092905,442771,16311.80586627847,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2017,"2017","true","true",3899,12347.775693333333,556.5616856350797,450000,16444.41764382339,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services"
